brand_name	conceptid	drug_name
"artec"	"102649004"	"heptanoic acid (substance)"
"chem-star recover"	"102649004"	"heptanoic acid (substance)"
"peptavlon"	"10782005"	"pentagastrin (substance)"
"dalgan"	"108377005"	"dezocine (substance)"
"paxarel"	"108389007"	"acetylcarbromal (substance)"
"doral"	"108391004"	"quazepam (substance)"
"demadex"	"108476002"	"torsemide (substance)"
"daypro"	"108518005"	"oxaprozin (substance)"
"prolensa"	"108520008"	"bromfenac (substance)"
"xibrom"	"108520008"	"bromfenac (substance)"
"duract"	"108520008"	"bromfenac (substance)"
"bromday"	"108520008"	"bromfenac (substance)"
"corlopam"	"108590002"	"fenoldopam (substance)"
"baycol"	"108597004"	"cerivastatin sodium (substance)"
"zyflo"	"108617005"	"zileuton (substance)"
"infasurf"	"108641008"	"calfactant (substance)"
"omnicef"	"108677001"	"cefdinir (substance)"
"omnicef omni-pac"	"108677001"	"cefdinir (substance)"
"priftin"	"108686006"	"rifapentine (substance)"
"rescriptor"	"108710001"	"delavirdine (substance)"
"adagen"	"108743002"	"pegademase bovine (substance)"
"zoladex"	"108771008"	"goserelin (substance)"
"oncaspar"	"108814000"	"pegaspargase (substance)"
"totect"	"108825009"	"dexrazoxane (substance)"
"zinecard"	"108825009"	"dexrazoxane (substance)"
"profenal"	"108849007"	"suprofen (substance)"
"aphthasol"	"108897008"	"amlexanox (substance)"
"dovonex"	"108910005"	"calcipotriene (substance)"
"calcitrene"	"108910005"	"calcipotriene (substance)"
"sorilux"	"108910005"	"calcipotriene (substance)"
"condylox"	"108931008"	"podofilox (substance)"
"actinex"	"108933006"	"masoprocol (substance)"
"zemplar"	"108946001"	"paricalcitol (substance)"
"carnitor"	"108958001"	"levocarnitine (substance)"
"sucraid"	"108962007"	"sacrosidase (substance)"
"leukine"	"108967001"	"sargramostim (substance)"
"neumega"	"108968006"	"oprelvekin (substance)"
"feiba"	"109003006"	"anti-inhibitor coagulant complex (substance)"
"evista"	"109029006"	"raloxifene (substance)"
"synarel"	"109046009"	"nafarelin (substance)"
"vantas"	"109049002"	"histrelin (substance)"
"supprelin"	"109049002"	"histrelin (substance)"
"protropin"	"109052005"	"somatrem (substance)"
"sandostatin"	"109053000"	"octreotide (substance)"
"glyset"	"109071007"	"miglitol (substance)"
"ganite"	"109092007"	"gallium nitrate (substance)"
"revex"	"109098006"	"nalmefene (substance)"
"chemet"	"109104002"	"succimer (substance)"
"thiola"	"109106000"	"tiopronin (substance)"
"orthoclone okt3"	"109137000"	"muromonab-cd3 (substance)"
"bilopaque sodium"	"109211005"	"tyropanoate (substance)"
"fleet mineral oil"	"111089004"	"mineral oil (substance)"
