Comorbidity	ICD9_REGEX	ICD10_REGEX	Points
Myocardial infarction	^410(\..*)?|^412(\..*)?	^I21(\..*)?|^I22(\..*)?|^I25\.2	1
Congestive heart failure	^398\.91|^402\.01|^402\.11|^402\.91|^404\.01|^404\.03|^404\.11|^404\.13|^404\.91|^404\.93|^425\.[4-9].*|^428(\..*)?	^I09\.9|^I11\.0|^I13\.0|^I13\.2|^I25\.5|^I42\.0|^I42\.[5-9].*|^I43(\..*)?|^I50(\..*)?|^P29\.0	1
Peripheral vascular disease	^093\.0|^437\.3|^440(\..*)?|^441(\..*)?|^443\.[1-9].*|^447\.1|^557\.1|^557\.9|^V43\.4	^I70(\..*)?|^I71(\..*)?|^I73\.1|^I73\.8|^I73\.9|^I77\.1|^I79\.0|^I79\.2|^K55\.1|^K55\.8|^K55\.9|^Z95\.8|^Z95\.9	1
Cerebrovascular disease	^362\.34|^43[0-8](\..*)?	^G45(\..*)?|^G46(\..*)?|^H34\.0|^I6[0-9](\..*)?	1
Dementia	^290(\..*)?|^294\.1|^331\.2	^F0[0-3](\..*)?|^F05\.1|^G30(\..*)?|^G31\.1	1
Chronic pulmonary disease	^416\.8|^416\.9|^49[0-9](\..*)?|^50[0-5](\..*)?|^506\.4|^508\.1|^508\.8	^I27\.8|^I27\.9|^J4[0-7](\..*)?|^J6[0-7](\..*)?|^J68\.4|^J70\.1|^J70\.3	1
Rheumatic disease	^446\.5|^710\.[0-4].*|^714\.[0-2].*|^714\.8|^725(\..*)?	^M05(\..*)?|^M06(\..*)?|^M31\.5|^M3[2-4](\..*)?|^M35\.1|^M35\.3|^M36\.0	1
Peptic ulcer disease	^53[1-4](\..*)?	^K2[5-8](\..*)?	1
Mild liver disease	^070\.22|^070\.23|^070\.32|^070\.33|^070\.44|^070\.54|^070\.6|^070\.9|^570(\..*)?|^571(\..*)?|^573\.3|^573\.4|^573\.8|^573\.9|^V42\.7	^B18(\..*)?|^K70\.[0-3].*|^K70\.9|^K71\.[3-5].*|^K71\.7|^K73(\..*)?|^K74(\..*)?|^K76\.0|^K76\.[2-4].*|^K76\.8|^K76\.9|^Z94\.4	1
Diabetes without chronic complication	^250\.[0-3].*|^250\.8|^250\.9	^E1[0-4]\.[01689]	1
Diabetes with chronic complication	^250\.[4-7].*	E1[0-4]\.[2-57].*	2
Hemiplegia or paraplegia	^334\.1|^342(\..*)?|^343(\..*)?|^344\.[0-6].*|^344\.9	^G04\.1|^G11\.4|^G80\.1|^G80\.2|^G81(\..*)?|^G82(\..*)?|^G83\.[0-4].*|^G83\.9	2
Renal disease	^403\.01|^403\.11|^403\.91|^404\.02|^404\.03|^404\.12|^404\.13|^404\.92|^404\.93|^582(\..*)?|^583\.[0-7].*|^585(\..*)?|^586(\..*)?|^588\.0|^V42\.0|^V45\.1|^V56(\..*)?	^I12\.0|^I13\.1|^N03\.[2-7].*|^N05\.[2-7].*|^N18(\..*)?|^N19(\..*)?|^N25\.0|^Z49\.[0-2].*|^Z94\.0|^Z99\.2	2
Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin	^1[4-6][0-9](\..*)?|^17[0-24-9](\..*)?|^18[0-9](\..*)?|^19[0-4](\..*)?|^195\.[0-8].*|^20[0-8](\..*)?|^238\.6	^C[01][0-9](\..*)?|^C2[0-6](\..*)?|^C3[0-47-9](\..*)?|^C4[0135-9](\..*)?|^C5[0-8](\..*)?|^C6[0-9](\..*)?|^C7[0-6](\..*)?|^C8[1-58](\..*)?|^C9[0-7](\..*)?	2
Moderate or severe liver disease	^456\.[0-2].*|^572\.[2-8].*	^I85\.0|^I85\.9|^I86\.4|^I98\.2|^K70\.4|^K71\.1|^K72\.1|^K72\.9|^K76\.5|^K76\.6|^K76\.7	3
Metastatic solid tumor	^19[6-9](\..*)?	^C7[7-9](\..*)?|^C80(\..*)?	6
AIDS-HIV	^04[2-4](\..*)?	^B2[0-24](\..*)?	6
