NORMALIZED_STRING	ORIGINAL_STRING	IDENTIFIER	SOURCE_CODE
% Atypical Lymphocyte	C % ATYPICAL LYMPHOCYTES (MANUAL)	164400	EPIC
% Band	C % BAND NEUTROPHILS (MANUAL)	159618	EPIC
% Band	Bands %	227033	SCM
% Basophil	% Basophil Automated	4858135	CERNER
% Basophil	C % BASOPHILS	164877	EPIC
% Basophil	Basophils % Results HUP/PMC	228316	SCM
% Basophil	Basophil % PAH Results	227533	SCM
% Basophil	C % BASOPHILS (MANUAL)	159620	EPIC
% Basophil	% BASOPHILS	168695	DMEE
% Basophil	Basophil Auto	AUTODIF_Basophil Auto	PS
% Eosinophil	% Eosinophil Automated	4858415	CERNER
% Eosinophil	C % EOSINOPHILS	171085	EPIC
% Eosinophil	Eosinophils % Result HUP/PMC	226284	SCM
% Eosinophil	Eosinophil % PAH Results	226566	SCM
% Eosinophil	C % EOSINOPHILS (MANUAL)	164403	EPIC
% Eosinophil	% EOSINOPHILS	165641	DMEE
% Eosinophil	Eos Auto	AUTODIF_Eos Auto	PS
% Lymphocyte	% Lymphocyte Automated	4857700	CERNER
% Lymphocyte	C % LYMPHOCYTES	170743	EPIC
% Lymphocyte	Lymph % Result HUP/PMC	226093	SCM
% Lymphocyte	Lymph % PAH Results ,	227598	SCM
% Lymphocyte	C % LYMPHOCYTES (MANUAL)	170926	EPIC
% Lymphocyte	% LYMPHOCYTES	162016	DMEE
% Lymphocyte	% LYMPHS	165749	DMEE
% Lymphocyte	Lymph Auto	AUTODIF_Lymph Auto	PS
% Lymphocyte	Lymph BF	BF Diff_Lymph BF	PS
% Lymphocyte	Lymph BF	BF DIFF_Lymph BF	PS
% Monocyte	% Monocyte Automated	4855737	CERNER
% Monocyte	C % MONOCYTES	163851	EPIC
% Monocyte	Monocytes %  Results HUP/PMC	227088	SCM
% Monocyte	Mono % PAH Result	228608	SCM
% Monocyte	C % MONOCYTES (MANUAL)	170927	EPIC
% Monocyte	Mono Auto	AUTODIF_Mono Auto	PS
% Neutrophil	% Neutrophil Automated	4860769	CERNER
% Neutrophil	C % NEUTROPHILS	159435	EPIC
% Neutrophil	Neutrophils % Result HUP/PMC	228228	SCM
% Neutrophil	Neutrophil % PAH Result	228617	SCM
% Neutrophil	Neutro Auto	AUTODIF_Neutro Auto	PS
% Neutrophil	Segs Man	M-DIFF_Segs Man	PS
% Nucleated RBC	C % NUCLEATED RBC	170504	EPIC
% Segmented Neutrophil	C % SEGMENTED NEUTROPHILS (MANUAL)	170925	EPIC
% Segmented Neutrophil	Segs %	227011	SCM
% Segmented Neutrophil	% SEGS	162061	DMEE
ABG Hematocrit	ABG Hematocrit	4862039	CERNER
ABG Hematocrit	C HCT (ABG)	6934003	EPIC
ABG Hematocrit	ABG Hct	_Abg/Lytes Rals Venous_ABG Hct	PS
ABG Hematocrit	ABG Hct	_ABG/Lytes Rals PAH_ABG Hct	PS
